eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197907020004,1979,7,2,,0,,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1.0,0,,,1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,16,Telecommunication,88.0,Radio,,Radio transmission center,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908080005,1979,8,8,,0,,92,India,6,South Asia,Andhra Pradesh,Amapur,16.435329,77.831725,1.0,0,,,1,1,1,0,,,0.0,1,0,9,Unknown,,,,,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,,town,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,60.0,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1.0,,,1.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908190001,1979,8,19,,0,,92,India,6,South Asia,Unknown,Raisikah,,,5.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,23.0,Police Patrol (including vehicles and convoys),Police,patrol,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,1.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908200003,1979,8,20,,0,,92,India,6,South Asia,Mizoram,Champhai,23.469545,93.337934,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Indian Govt,Policeman,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,1.0,,,,,,,,,,,,5,Firearms,4.0,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Rifle,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908250002,1979,8,25,,0,,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Agriculture Dept,Driver,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearms,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908260001,1979,8,26,,0,,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,87.0,Affiliated Institution,,Hindu Religious Ceremony,92.0,India,,,,,,,,,,,,,,,,,Muslims,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,1.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197908270006,1979,8,27,,0,,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,2,Government (General),14.0,Judge/Attorney/Court,,Magistrate's court,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unk,1.0,,,1.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908270007,1979,8,27,,0,,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police,station,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearms,1.0,,,0.0,,,1,,,,Damages: stole 2 rifles,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197908290001,1979,8,29,,0,,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",,several areas of Hhrijan quarter,92.0,India,,,,,,,,,,,,,,,,,Muslims,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,3.0,,,14.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197909080001,1979,9,8,,0,,92,India,6,South Asia,Tamil Nadu,Chennai,13.08268,80.270718,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,19,Transportation,99.0,Bus (excluding tourists),,Bus,92.0,India,,,,,,,,,,,,,,,,,Naxalites,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,3.0,,,0.0,,,1,3.0,Minor (likely < $1 million),30000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
